dict_a,dict_b,shared_headwords,root_agrees,pct
WIL,SKD,85,15,17.6
WIL,VCP,1372,323,23.5
WIL,Apte,70,13,18.6
WIL,AP,76,13,17.1
WIL,SHS,32,1,3.1
WIL,KRM,18,0,0.0
WIL,MW,1070,90,8.4
WIL,PWG,3802,772,20.3
WIL,PW,186,39,21.0
SKD,VCP,52,31,59.6
SKD,Apte,76,34,44.7
SKD,AP,53,19,35.8
SKD,SHS,1,0,0.0
SKD,MW,13,5,38.5
SKD,PWG,29,15,51.7
SKD,PW,2,0,0.0
VCP,Apte,72,14,19.4
VCP,AP,80,17,21.2
VCP,SHS,39,28,71.8
VCP,KRM,6,0,0.0
VCP,MW,147,32,21.8
VCP,PWG,681,96,14.1
VCP,PW,26,5,19.2
Apte,AP,161,150,93.2
Apte,SHS,4,1,25.0
Apte,MW,10,2,20.0
Apte,PWG,43,33,76.7
Apte,PW,1,1,100.0
AP,SHS,4,1,25.0
AP,MW,9,3,33.3
AP,PWG,47,35,74.5
AP,PW,1,1,100.0
SHS,MW,4,2,50.0
SHS,PWG,10,2,20.0
KRM,MW,6,0,0.0
KRM,PWG,18,0,0.0
KRM,PW,1,0,0.0
MW,PWG,692,451,65.2
MW,PW,58,36,62.1
PWG,PW,479,446,93.1
