mw_L	e	k1_slp1	root_iast	verb_type	classes	whitney_anchor	westergaard
9	1	aMS	aṃś	genuineroot	10P,10Ā		
87	1	aMs	aṃs	genuineroot			
107	1	aMh	aṃh	genuineroot	1Ā,10P		
114	1	aMh	aṃh	genuineroot		aMh,1	
134	1	ak	ak	genuineroot	1P		
423	1	akz	akṣ	genuineroot	1,5	akz1,1;akz2,1	
762	1	ag	ag	genuineroot	1P		
1348	1	aG	agh	genuineroot	10P		
1408	1	aNk	aṅk	genuineroot	1Ā,10P		
1491	1	aNK	aṅkh	genuineroot	10P		
1492	1	aNg	aṅg	genuineroot	1P,10P	aNg,1	
1752	1	aNG	aṅgh	genuineroot	1Ā		
1767	1	ac	ac	genuineroot	1P,1Ā	ac,1	
1927	1	aj	aj	genuineroot	1P	aj,2	
2250	1	aYc	añc	genuineroot	1P,1Ā,10P,10Ā	ac,1	
2267	1	aYj	añj	genuineroot	7P,7Ā	aYj,2	
2337	1	aw	aṭ	genuineroot	1P,1Ā	aw,2	
2358	1	aww	aṭṭ	genuineroot	1Ā,10P		
2383	1	aW	aṭh	genuineroot	1P,1Ā		
2386	1	aq	aḍ	genuineroot	1P		
2388	1	aqq	aḍḍ	genuineroot	1P		
2390	1	aR	aṇ	genuineroot	1P,4Ā		
2447	1	aRW	aṇṭh	genuineroot	1Ā	aRW,3	
2490	1	at	at	genuineroot	1P,1Ā	at,3	
3575	1	ad	ad	genuineroot	2P	ad,3	
4782	1	an	an	genuineroot	2P	an,3	
7900	1	ant	ant	genuineroot	1P		
8399	1	and	and	genuineroot	1P		
8411	1	anD	andh	genuineroot	10P		
8656	2	anyaTaya	anyathaya	root	0P		
13687	1	aBr	abhr	genuineroot	1P		
13748	1	am	am	genuineroot	0Ā	am,3	
14390	1	amb	amb	genuineroot	1P,1Ā		
14564	1	amB	ambh	genuineroot			
14662	1	ay	ay	root	0		
15571	1	ark	ark	genuineroot			
15682.1	1	arG	argh	root	1P		
15701	1	arc	arc	genuineroot	1P,1Ā	arc,4	
15739	1	arj	arj	genuineroot	1P,1Ā	fj,14	
15839	1	arT	arth	genuineroot	10Ā,1Ā		
16095	1	ard	ard	genuineroot	6P,1P,7	fd,15	
16336	1	arpaya	arpaya	root	0		
16352	1	arb	arb	genuineroot	1P		
16408	1	arv	arv	genuineroot	1P		
16483	1	arh	arh	genuineroot	1P,1Ā	arh,4	
16510	1	al	al	genuineroot	1P		
16938	1	av	av	genuineroot	1P	av,4	
19412	1	aS	aś	genuineroot	0Ā,0P	aS1,4	
19416	1	aS	aś	genuineroot		aS2,5	
20163	1	az	aṣ	genuineroot	1P,1Ā		
20353	1	as	as	genuineroot	2P,2Ā	as1,5	
20354	1	as	as	genuineroot	4P,4Ā	as2,5	
21629	1	ah	ah	genuineroot		ah,6	
21630	1	ah	ah	genuineroot	5P		
