L_id	headword	headword_slp1	source	source_slp1	source_class	is_root	source_gloss_de	deriv_marker	context
3	a	a	a	a	root	True		von	in andern Sprachen, bisweilen in übertreibender Weise gebraucht wird. So umschreibt z. B.
9	aṃśaka	aMSaka	aṃśa	aMSa	root	True		von	1. {#aMSaka#}¦ (von 1. {#aMSa#}) m.  1〉  AK. 1,1,2,17. — 2〉  P. 5,2,69.  TRIK. 2,6,9.
10	aṃśaka	aMSaka	aṃśa	aMSa	root	True	Theil	Von	Sa#} , insofern der Tag in kleinere Zeitabschnitte getheilt wird; vgl. {#aMSo 'zwamo 'hnaH
13	aṃśay	aMSay	aṃśa	aMSa	root	True	Theil	von	!√{#aMSay#}¦ (Denom. von {#aMSa#} ), {#aMSa/yati#} , KAVIKALPADR. ({#viBAjane, aMSakaraRe#
14	aṃśala	aMSala	aṃśa	aMSa	root	True	Schulter	von	{#aMSala#}¦ (von {#aMSa#} ) adj.  RAMĀN._zu_AK._im_ŚKDR. — Vgl. {#aMsala#
17	aṃśāpay	aMSApay	aṃśa	aMSa	root	True	Theil	von	MSApa/yati#} (Denom. von {#aMSa#} ) , WEST. s. r. {#aMs#}.
19	aṃśin	aMSin	aṃśa	aMSa	root	True		von	{#aMSin#}¦ (von 1. {#aMSa#}) am Ende eines adj. comp.: {#sarve vA syuH s
21	aṃśuka	aMSuka	aṃśu	aMSu	stem/word	False	Faser	Von	
38	aṃsadhrī	aMsaDrI	dhra	Dra	root	True		von	Msa#} + {#DrI#} f. von {#Dra#}) f.  (?): {#f\tena^ ta\zwA mana^sA hi\tEzA bra^hmOda\nasya\
42	aṃsala	aMsala	aṃsa	aMsa	root	True	Schulter	von	{#aMsala/#}¦ (von {#aMsa#} ) adj.  P. 5,2,98. AK. 2,6,1,44. H. 448. ŚAT. B
44	aṃsebhāra	aMseBAra	aṃsa	aMsa	root	True		von	ra#}¦ ({#aMse#} Loc. von {#aMsa#} + {#BAra#}) m. , gaṇa {#BastrAdi#}. — Vgl. {#aMsaBAra#}.
46	aṃsya	aMsya	aṃsa	aMsa	root	True	Schulter	von	{#a/Msya#}¦ (von {#aMsa#} ) adj. : {#ye aMsyA\ ye aNgyA^H sU\cIkA\ ye pra
101	akāmahata	akAmahata	han	han	root	True		von	#kAma#} + {#hata#} von {#han#}]) adj.  BṚH. ĀR. UP. 4,3,33.
150	akra	akra	a	a	root	True	nicht	von	#}  und {#kra#}  von {#kar#}.
158	akrīḻant	akrILant	krīḍ	krIq	root	True		von	von {#krIq#}) adj. : {#akrI^La\nkrILa\nhari\ratta^ve a\dan#} ṚV. 10,79,6.
167	akṣa	akza	akṣa	akza	root	True		von	
168	akṣa	akza	akṣa	akza	root	True		von	.
169	akṣaka	akzaka	akṣa	akza	root	True		von	{#akzaka#}¦ (von {#akza#}) m. Name einer Pflanze, Dalbergia ougeinensis,
180	akṣadrugdha	akzadrugDa	druh	druh	root	True		von	s. von {#druh#}) adj. : {#a\kzadru^gDo rAja\nya^H pA\pa A^tmaparAji\taH . sa brA^hma\Rasya
184	akṣan	akzan	akṣi	akzi	stem/word	False		Wurzel/Stamm	ya^KyadAya\tI pu^ru\trA de\vya1kzaBi^H#} 10,127,1. — Vgl. 2. {#a/kza#} 5,3. {#akza#} 2. un
224	akṣavant	akzavant	akṣa	akza	root	True	Würfel	von	{#akzavant#}¦ (von {#akza#} )  1〉 adj. . — 2〉 f. {#akzavatI#}  AK. 2,10,45.
